¦  (\u00a6) 11506 := BROKEN BAR
×  (\u00d7)     1 := MULTIPLICATION SIGN
à  (\u00e0)   207 := LATIN SMALL LETTER A WITH GRAVE
á  (\u00e1) 64162 := LATIN SMALL LETTER A WITH ACUTE
â  (\u00e2)     2 := LATIN SMALL LETTER A WITH CIRCUMFLEX
ä  (\u00e4)  4714 := LATIN SMALL LETTER A WITH DIAERESIS
è  (\u00e8)     7 := LATIN SMALL LETTER E WITH GRAVE
é  (\u00e9)  6264 := LATIN SMALL LETTER E WITH ACUTE
ë́  (\u00eb\u0301)     1 := LATIN SMALL LETTER E WITH DIAERESIS + COMBINING ACUTE ACCENT
ì  (\u00ec)     2 := LATIN SMALL LETTER I WITH GRAVE
í  (\u00ed) 20084 := LATIN SMALL LETTER I WITH ACUTE
î  (\u00ee)     2 := LATIN SMALL LETTER I WITH CIRCUMFLEX
ï  (\u00ef)     6 := LATIN SMALL LETTER I WITH DIAERESIS
ñ  (\u00f1)  1257 := LATIN SMALL LETTER N WITH TILDE
ò  (\u00f2)     6 := LATIN SMALL LETTER O WITH GRAVE
ó  (\u00f3)  5031 := LATIN SMALL LETTER O WITH ACUTE
ö  (\u00f6)  3462 := LATIN SMALL LETTER O WITH DIAERESIS
ù  (\u00f9)    11 := LATIN SMALL LETTER U WITH GRAVE
ú  (\u00fa) 10024 := LATIN SMALL LETTER U WITH ACUTE
û  (\u00fb)     4 := LATIN SMALL LETTER U WITH CIRCUMFLEX
ü  (\u00fc)  5712 := LATIN SMALL LETTER U WITH DIAERESIS
ý  (\u00fd)     2 := LATIN SMALL LETTER Y WITH ACUTE
þ  (\u00fe)     1 := LATIN SMALL LETTER THORN
ā  (\u0101) 35572 := LATIN SMALL LETTER A WITH MACRON
ā̀  (\u0101\u0300)    33 := LATIN SMALL LETTER A WITH MACRON + COMBINING GRAVE ACCENT
ā́  (\u0101\u0301) 24497 := LATIN SMALL LETTER A WITH MACRON + COMBINING ACUTE ACCENT
ă  (\u0103)     1 := LATIN SMALL LETTER A WITH BREVE
ē  (\u0113)     2 := LATIN SMALL LETTER E WITH MACRON
ě  (\u011b)    22 := LATIN SMALL LETTER E WITH CARON
ī  (\u012b)  7712 := LATIN SMALL LETTER I WITH MACRON
ī́  (\u012b\u0301)  3034 := LATIN SMALL LETTER I WITH MACRON + COMBINING ACUTE ACCENT
ĭ  (\u012d)     5 := LATIN SMALL LETTER I WITH BREVE
ł  (\u0142)     2 := LATIN SMALL LETTER L WITH STROKE
Ś  (\u015a)    21 := LATIN CAPITAL LETTER S WITH ACUTE
ś  (\u015b) 12119 := LATIN SMALL LETTER S WITH ACUTE
ū  (\u016b)  4243 := LATIN SMALL LETTER U WITH MACRON
ū̀  (\u016b\u0300)     1 := LATIN SMALL LETTER U WITH MACRON + COMBINING GRAVE ACCENT
ū́  (\u016b\u0301)  2248 := LATIN SMALL LETTER U WITH MACRON + COMBINING ACUTE ACCENT
ŭ  (\u016d)    15 := LATIN SMALL LETTER U WITH BREVE
